"row.names","date","mktrf","smb","hml","rf","year","month","umd","dateff"
"61",1931-07-01,-0.0662,0.0143,-0.021,0.0006,1931.0,7.0,0.0808,1931-07-31
"62",1931-08-01,0.0041,-0.0197,-0.0149,0.0003,1931.0,8.0,-0.0352,1931-08-31
"63",1931-09-01,-0.2913,0.0056,-0.0675,0.0003,1931.0,9.0,0.1023,1931-09-30
"64",1931-10-01,0.0804,-0.0187,0.017,0.001,1931.0,10.0,0.032,1931-10-31
"65",1931-11-01,-0.0908,0.043,-0.0505,0.0017,1931.0,11.0,0.0769,1931-11-30
"66",1931-12-01,-0.1353,-0.0056,-0.0886,0.0012,1931.0,12.0,0.1422,1931-12-31
"67",1932-01-01,-0.0158,0.0394,0.0904,0.0023,1932.0,1.0,-0.1037,1932-01-30
"68",1932-02-01,0.0546,-0.0277,-0.0145,0.0023,1932.0,2.0,0.0162,1932-02-29
"69",1932-03-01,-0.1121,0.0227,-0.0232,0.0016,1932.0,3.0,0.1033,1932-03-31
"70",1932-04-01,-0.1796,0.0144,0.0142,0.0011,1932.0,4.0,0.0695,1932-04-30
"71",1932-05-01,-0.2051,0.0391,-0.0299,0.0006,1932.0,5.0,0.122,1932-05-31
"72",1932-06-01,-0.007,0.0034,0.053,0.0002,1932.0,6.0,0.021,1932-06-30
"73",1932-07-01,0.3384,-0.0444,0.3546,0.0003,1932.0,7.0,-0.4394,1932-07-30
"74",1932-08-01,0.3706,0.1429,0.3303,0.0003,1932.0,8.0,-0.5227,1932-08-31
"75",1932-09-01,-0.0294,-0.0244,-0.0682,0.0003,1932.0,9.0,0.0244,1932-09-30
"76",1932-10-01,-0.1317,-0.0276,-0.1005,0.0002,1932.0,10.0,0.0429,1932-10-31
"77",1932-11-01,-0.0588,0.0208,-0.1328,0.0002,1932.0,11.0,-0.0207,1932-11-30
"78",1932-12-01,0.044,-0.0827,-0.0817,0.0001,1932.0,12.0,0.0526,1932-12-31
